Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),LIVING_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Heating Energy [J](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Energy [J](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),MAIN ELECTRIC HEATING COIL_UNIT1:Heating Coil Heating Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Electricity Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep) 
 02/21  00:15:00,16.2,3.0,19.45643775338307,11.945347315313378,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  00:30:00,16.2,3.0,19.411456389228705,11.94612813133242,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  00:45:00,16.2,3.0,19.3725591262091,11.946673388084023,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  01:00:00,16.2,3.0,19.340890258139486,11.946987388318698,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  01:15:00,16.2,2.69079,19.293279902121307,11.947080763951995,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  01:30:00,16.2,2.69079,19.244722121263427,11.94696519445951,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  01:45:00,16.2,2.69079,19.205566459570595,11.946654336118126,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  02:00:00,16.2,2.69079,19.17529715854403,11.946164135448952,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  02:15:00,16.2,3.0,19.16447377475916,11.945511842029351,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  02:30:00,16.2,3.0,19.155858925457254,11.94472738779911,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  02:45:00,16.2,3.0,19.141032308477567,11.943823425569376,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  03:00:00,16.2,3.0,19.12176188633987,11.942809112567988,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  03:15:00,16.2,2.69079,19.08549357685654,11.941702731082275,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  03:30:00,16.2,2.69079,19.04949733655768,11.940526852162334,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  03:45:00,16.2,2.69079,19.02256687552626,11.939302150497446,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  04:00:00,16.2,2.69079,19.00293332794949,11.938045322727698,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,0.0,0.0,0.0,0.0 
 02/21  04:15:00,16.2,3.0,19.00878975360277,11.936808433866414,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  04:30:00,16.2,3.0,19.018249718814265,11.935580366313049,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
 02/21  04:45:00,16.2,3.0,19.0187554100926,11.934336973676395,0.0,0.0,23.3,0.0,0.0,0.0,15.0,23.3,,0.0,0.0,0.0 
