Time,LIVING_UNIT1::Des Heat Load [W],LIVING_UNIT1:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1::Des Heat Mass Flow [kg/s],LIVING_UNIT1:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,1.764790E+03,0.000000E+00,1.532125E-01
00:30:00,0.000000E+00,1.680758E+03,0.000000E+00,1.459164E-01
00:45:00,0.000000E+00,1.601216E+03,0.000000E+00,1.390101E-01
01:00:00,0.000000E+00,1.525653E+03,0.000000E+00,1.324494E-01
01:15:00,0.000000E+00,1.456391E+03,0.000000E+00,1.264357E-01
01:30:00,0.000000E+00,1.393528E+03,0.000000E+00,1.209776E-01
01:45:00,0.000000E+00,1.335778E+03,0.000000E+00,1.159636E-01
02:00:00,0.000000E+00,1.282539E+03,0.000000E+00,1.113412E-01
02:15:00,0.000000E+00,1.245920E+03,0.000000E+00,1.081617E-01
02:30:00,0.000000E+00,1.212938E+03,0.000000E+00,1.052983E-01
02:45:00,0.000000E+00,1.183142E+03,0.000000E+00,1.027115E-01
03:00:00,0.000000E+00,1.156166E+03,0.000000E+00,1.003695E-01
03:15:00,0.000000E+00,1.119999E+03,0.000000E+00,9.722976E-02
03:30:00,0.000000E+00,1.085659E+03,0.000000E+00,9.424824E-02
03:45:00,0.000000E+00,1.052814E+03,0.000000E+00,9.139654E-02
04:00:00,0.000000E+00,1.021337E+03,0.000000E+00,8.866356E-02
04:15:00,0.000000E+00,1.006688E+03,0.000000E+00,8.739152E-02
04:30:00,0.000000E+00,9.947738E+02,0.000000E+00,8.635727E-02
04:45:00,0.000000E+00,9.852049E+02,0.000000E+00,8.552665E-02
05:00:00,0.000000E+00,9.776976E+02,0.000000E+00,8.487502E-02
05:15:00,0.000000E+00,9.690488E+02,0.000000E+00,8.412431E-02
05:30:00,0.000000E+00,9.660846E+02,0.000000E+00,8.386703E-02
05:45:00,0.000000E+00,9.679272E+02,0.000000E+00,8.402712E-02
06:00:00,0.000000E+00,9.743800E+02,0.000000E+00,8.458749E-02
06:15:00,0.000000E+00,1.024046E+03,0.000000E+00,8.889938E-02
06:30:00,0.000000E+00,1.123214E+03,0.000000E+00,9.751010E-02
06:45:00,0.000000E+00,1.269041E+03,0.000000E+00,1.101713E-01
07:00:00,0.000000E+00,1.458421E+03,0.000000E+00,1.266111E-01
07:15:00,0.000000E+00,1.644274E+03,0.000000E+00,1.427431E-01
07:30:00,0.000000E+00,1.824917E+03,0.000000E+00,1.584186E-01
07:45:00,0.000000E+00,2.002213E+03,0.000000E+00,1.738015E-01
08:00:00,0.000000E+00,2.179261E+03,0.000000E+00,1.891641E-01
08:15:00,0.000000E+00,2.320599E+03,0.000000E+00,2.014270E-01
08:30:00,0.000000E+00,2.456913E+03,0.000000E+00,2.132553E-01
08:45:00,0.000000E+00,2.590895E+03,0.000000E+00,2.248825E-01
