Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.564926E-01,5.549768E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.495331E+02,1.329109E-01,1.889865E+03,3.291300E+03
00:30:00,1.642344E-01,5.758836E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.545949E+02,1.383004E-01,1.861281E+03,3.234895E+03
00:45:00,1.714858E-01,5.949222E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.596567E+02,2.268744E-01,2.811386E+03,4.542892E+03
01:00:00,1.783241E-01,6.123614E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.647186E+02,2.832202E-01,3.243411E+03,5.056768E+03
01:15:00,1.535361E-01,5.386974E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.680931E+02,1.784584E-01,2.115649E+03,3.474631E+03
01:30:00,1.490171E-01,5.285073E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.714676E+02,1.619201E-01,1.996015E+03,3.470574E+03
01:45:00,1.327786E-01,4.816328E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.748422E+02,6.449799E-02,8.778560E+02,1.727697E+03
02:00:00,1.210121E-01,4.477828E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.782167E+02,3.324978E-02,4.914139E+02,1.109797E+03
02:15:00,1.405585E-01,5.085885E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.807476E+02,3.324978E-02,4.888830E+02,1.107183E+03
02:30:00,1.410694E-01,5.077297E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.832785E+02,3.324978E-02,4.863520E+02,1.104569E+03
02:45:00,1.536583E-01,5.441285E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.858095E+02,3.324978E-02,4.838211E+02,1.101955E+03
03:00:00,1.623418E-01,5.679904E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.883404E+02,3.324978E-02,4.812902E+02,1.099342E+03
03:15:00,1.696840E-01,5.875757E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.908713E+02,9.551428E-02,1.307994E+03,2.509251E+03
03:30:00,1.768072E-01,6.062948E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.934022E+02,9.551428E-02,1.256533E+03,2.406320E+03
03:45:00,1.828091E-01,6.213548E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.959331E+02,1.700407E-01,2.068447E+03,3.629256E+03
04:00:00,1.884915E-01,6.352144E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.984640E+02,2.199535E-01,2.483849E+03,4.196456E+03
04:15:00,1.439193E-01,5.052030E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,8.001513E+02,1.490917E-01,1.724248E+03,3.026563E+03
04:30:00,1.142542E-01,4.218559E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,8.018385E+02,1.863976E-01,2.150009E+03,3.757001E+03
04:45:00,8.415308E-02,3.330152E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,8.035258E+02,1.364029E-01,1.617850E+03,2.944087E+03
05:00:00,5.948834E-02,2.571803E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,8.052131E+02,1.128230E-01,1.365424E+03,2.565860E+03
05:15:00,8.250299E-02,3.330758E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,8.035258E+02,9.771230E-02,1.204270E+03,2.326250E+03
05:30:00,9.388878E-02,3.693645E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,8.018385E+02,8.098723E-02,1.021364E+03,2.039079E+03
05:45:00,1.061817E-01,4.080175E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,8.001513E+02,7.203847E-02,9.249370E+02,1.877106E+03
06:00:00,1.144311E-01,4.332459E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.984640E+02,6.323254E-02,8.275954E+02,1.717712E+03
06:15:00,1.683100E-01,5.963524E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.925585E+02,1.028279E-01,1.300875E+03,2.536256E+03
06:30:00,1.874530E-01,6.423728E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.866531E+02,1.272349E-01,1.574898E+03,2.980401E+03
06:45:00,2.285700E-01,7.498753E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.807476E+02,1.591418E-01,1.923056E+03,3.539679E+03
07:00:00,2.586773E-01,8.183430E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.748422E+02,1.916302E-01,2.263276E+03,4.079315E+03
07:15:00,1.832494E-01,6.052646E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.605004E+02,1.899687E-01,2.250665E+03,4.015332E+03
07:30:00,1.549424E-01,5.339118E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.461586E+02,1.976987E-01,2.356202E+03,4.130647E+03
07:45:00,1.037508E-01,3.881009E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.318167E+02,2.075568E-01,2.486599E+03,4.274884E+03
08:00:00,6.816723E-02,2.823339E+03,3.324978E-02,0.000000E+00,0.000000E+00,3.324978E-02,7.174749E+02,2.190066E-01,2.635529E+03,4.403136E+03
