,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,26.0,23.0,25.325,1.125,0.0,3.0
1,26.0,24.42629078238805,25.25,1.05,0.0,3.0
2,26.0,23.927145924312843,25.175000000000008,0.975,0.0,3.0
3,26.0,24.788184153350468,25.1,0.9,0.0,3.0
4,26.0,25.12753059332556,25.050000000000008,0.8250000000000001,0.0,3.0
5,26.0,25.260236140205905,25.0,0.75,0.0,3.0
6,26.0,25.310590172471045,24.95,0.6749999999999999,0.0,3.0
7,26.0,24.796245864989753,24.9,0.6,0.0,3.0
8,26.0,25.120613723408425,24.825,0.5249999999999999,0.0,3.0
9,26.0,24.714204505553383,24.75,0.45,0.0,3.0
10,26.0,25.08032096314342,24.675000000000008,0.375,0.0,3.0
11,26.0,25.222428817452595,24.6,0.3,0.0,3.0
12,26.0,25.27526369442055,24.550000000000008,0.225,0.0,3.0
13,26.0,24.761908065006523,24.5,0.15,0.0,3.0
14,26.0,25.086669936125613,24.45,0.075,0.0,3.0
15,26.0,24.14980472856787,24.4,0.0,0.0,3.0
16,26.0,24.83766676324616,24.4,0.0,0.0,3.0
17,26.0,25.11179682314714,24.4,0.0,0.0,3.0
18,26.0,25.221044442513808,24.4,0.0,0.0,3.0
19,26.0,25.26458232501234,24.4,0.0,0.0,3.0
20,26.0,25.281933249668135,24.275,0.0,0.0,3.0
21,26.0,25.28251698438036,24.15,0.0,0.0,3.0
22,26.0,24.744539357321997,24.025,0.0,0.0,3.0
23,26.0,25.055690129327992,23.9,0.0,101.0,3.0
24,26.0,24.641481159710402,24.175,0.0,151.5,3.0
25,26.0,25.02221613099447,24.45,0.0,202.0,3.0
26,26.0,25.187876733106634,24.725,0.0,281.75,3.0
27,26.0,23.672187207770282,25.0,0.0,361.5,3.0
28,26.0,24.67771333521709,25.825,0.0,441.25,2.6493
