,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,20.0,23.0,25.325,1.125,0.0,3.0
1,22.0,21.235015454967446,25.25,1.05,0.0,3.0
2,21.0,22.655343655016953,25.175000000000008,0.975,0.0,3.0
3,21.0,22.153822560180267,25.1,0.9,0.0,3.0
4,21.0,21.4182761362962,25.050000000000008,0.8250000000000001,0.0,3.0
5,21.0,21.654489471914268,25.0,0.75,0.0,3.0
6,22.0,20.682335479516993,24.95,0.6749999999999999,0.0,3.0
7,22.0,21.356134059295616,24.9,0.6,0.0,3.0
8,22.0,21.09024784738976,24.825,0.5249999999999999,0.0,3.0
9,21.0,22.57612464622994,24.75,0.45,0.0,3.0
10,21.0,21.56884707048378,24.675000000000008,0.375,0.0,3.0
11,22.0,21.163623382062607,24.6,0.3,0.0,3.0
12,21.0,21.530212302498885,24.550000000000008,0.225,0.0,3.0
13,22.0,21.14189543143176,24.5,0.15,0.0,3.0
14,22.0,21.516488345096487,24.45,0.075,0.0,3.0
15,21.0,21.66324048483518,24.4,0.0,0.0,3.0
16,22.0,21.187313211066797,24.4,0.0,0.0,3.0
17,21.0,22.59328206695046,24.4,0.0,0.0,3.0
18,21.0,21.557957819669024,24.4,0.0,0.0,3.0
19,22.0,21.145355461033343,24.4,0.0,0.0,3.0
20,22.0,20.980923200513274,24.275,0.0,0.0,3.0
21,22.0,21.44094105420487,24.15,0.0,0.0,3.0
22,21.0,21.61793852547333,24.025,0.0,0.0,3.0
23,21.0,21.682145363627196,23.9,0.0,101.0,3.0
24,21.0,21.701402340539726,24.175,0.0,151.5,3.0
25,21.0,22.25488422893329,24.45,0.0,202.0,3.0
26,22.0,21.4256303141668,24.725,0.0,281.75,3.0
27,20.0,23.768476478646857,25.0,0.0,361.5,3.0
28,22.0,21.524811667429493,25.825,0.0,441.25,2.6493
29,21.0,21.736198959168217,26.65,0.0,521.0,2.6493
30,22.0,21.33034766450309,27.475,0.0,565.0,2.6493
31,21.0,21.742269945966587,28.3,0.0,609.0,2.6493
32,21.0,21.416336812173945,28.725,0.0,653.0,1.22583
33,22.0,21.307969915761777,29.15,0.0,697.0,1.22583
34,21.0,21.81818777553196,29.575,0.0,714.25,1.22583
35,21.0,21.511168541176335,30.0,0.0,731.5,1.22583
36,21.0,21.410339302207426,30.425,0.0,748.75,0.72567
37,21.0,21.39168188394785,30.85,0.0,766.0,0.72567
38,21.0,21.40577197172524,31.275,0.0,778.5,0.72567
39,21.0,21.43291275184927,31.7,0.0,791.0,0.72567
40,21.0,21.465254556153106,31.975,0.775,803.5,0.72567
41,21.0,21.492071851150566,32.25,1.55,816.0,0.72567
42,21.0,21.516687492341404,32.525,2.325,795.5,0.72567
43,21.0,21.540425719952975,32.8,3.1,775.0,0.72567
44,21.0,21.563814276518727,32.925,2.85,754.5,0.72567
45,21.0,21.579466234234012,33.05,2.6,734.0,0.72567
46,21.0,21.59203496566352,33.175,2.35,735.0,0.72567
47,20.0,22.66713339751685,33.3,2.1,736.0,0.72567
48,21.0,21.506280128807568,33.575,2.475,737.0,0.72567
49,21.0,21.58945885172206,33.85,2.85,738.0,0.72567
50,21.0,21.104656696834198,34.125,3.225,730.25,0.72567
51,20.0,21.45725853511901,34.4,3.6,722.5,0.72567
52,21.0,21.079828165606276,34.55,3.35,714.75,0.72567
53,21.0,21.468889281513412,34.7,3.1,707.0,0.72567
54,20.0,21.63153701994127,34.85,2.85,703.25,0.72567
55,20.0,22.76771186141453,35.0,2.6,699.5,0.72567
56,20.0,22.69622370505345,35.0,2.725,695.75,0.72567
57,21.0,21.603975461431574,35.0,2.85,692.0,0.72567
58,20.0,21.70056670142245,35.0,2.975,615.5,0.72567
59,21.0,21.207181481990844,35.0,3.1,539.0,0.72567
60,20.0,21.542434471602103,35.15,3.1,462.5,0.72567
61,20.0,22.74739678128948,35.3,3.1,386.0,0.72567
62,20.0,23.76708057742476,35.45,3.1,419.0,0.72567
63,20.0,22.053530190177828,35.6,3.1,452.0,0.72567
64,21.0,21.378235160652665,35.30000000000001,3.75,485.0,0.8849400000000001
65,21.0,21.093918871049453,35.0,4.4,518.0,0.8849400000000001
66,21.0,21.49729651550539,34.7,5.050000000000002,549.5,0.8849400000000001
67,20.0,21.64285800636478,34.4,5.7,581.0,0.8849400000000001
68,21.0,21.15379415239604,34.0,5.300000000000002,612.5,1.6593
69,21.0,21.47050998978382,33.6,4.9,644.0,1.6593
70,21.0,21.57646977296915,33.2,4.5,583.75,1.6593
71,21.0,21.598438047900892,32.8,4.1,523.5,1.6593
72,21.0,21.58693362623367,32.6,3.975,463.25,2.6907900000000002
73,21.0,21.572219167519748,32.4,3.85,403.0,2.6907900000000002
74,21.0,21.556225429526652,32.2,3.725,302.25,2.6907900000000002
75,21.0,21.539721867051682,32.0,3.6,201.5,2.6907900000000002
76,21.0,21.523015126891785,31.75,3.475,100.75,2.6907900000000002
77,20.0,23.099332663676154,31.5,3.35,0.0,2.6907900000000002
78,21.0,21.58735528708843,31.25,3.225,0.0,2.6907900000000002
79,21.0,22.035891214559268,31.0,3.1,0.0,2.6907900000000002
80,20.0,24.329498700192016,30.6,2.325,0.0,2.6907900000000002
81,21.0,22.032023447512586,30.2,1.55,0.0,2.6907900000000002
82,21.0,21.62804254622074,29.8,0.775,0.0,2.6907900000000002
83,21.0,21.446786826609657,29.4,0.0,0.0,2.6907900000000002
84,21.0,21.354292609040417,28.85,0.375,0.0,3.0
85,22.0,21.289574802475645,28.3,0.75,0.0,3.0
86,21.0,21.767805804984466,27.75,1.125,0.0,3.0
87,22.0,20.86677769362419,27.2,1.5,0.0,3.0
88,22.0,21.543597544603937,26.925,1.125,0.0,3.0
89,21.0,21.799398735933153,26.65,0.75,0.0,3.0
90,21.0,21.355534341070296,26.375000000000004,0.375,0.0,3.0
91,20.0,22.760352763588635,26.1,0.0,0.0,3.0
92,21.0,21.710641755272505,26.1,0.525,0.0,3.0
93,22.0,21.292305915988972,26.1,1.05,0.0,3.0
94,20.0,23.25310560635333,26.1,1.5750000000000002,0.0,3.0
95,22.0,21.375136747894828,26.1,2.1,0.0,3.0
