,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,25.0,23.0,25.325,1.125,0.0,3.0
1,24.0,23.894411561151284,25.25,1.05,0.0,3.0
2,23.0,23.183299658193427,25.175000000000008,0.975,0.0,3.0
3,25.0,22.89610532672033,25.1,0.9,0.0,3.0
4,23.0,23.84161109085117,25.050000000000008,0.8250000000000001,0.0,3.0
5,25.0,22.620248479915038,25.0,0.75,0.0,3.0
6,23.0,23.726610473277443,24.95,0.6749999999999999,0.0,3.0
7,25.0,22.56935305427172,24.9,0.6,0.0,3.0
8,24.0,23.701262554572878,24.825,0.5249999999999999,0.0,3.0
9,24.0,23.616678684682153,24.75,0.45,0.0,3.0
10,25.0,23.047292072922097,24.675000000000008,0.375,0.0,3.0
11,23.0,23.34845800191583,24.6,0.3,0.0,3.0
12,26.0,21.869043797974687,24.550000000000008,0.225,0.0,3.0
13,23.0,23.936324281782912,24.5,0.15,0.0,3.0
14,25.0,23.16201668420333,24.45,0.075,0.0,3.0
15,25.0,22.850903510711046,24.4,0.0,0.0,3.0
16,25.0,22.192505567804353,24.4,0.0,0.0,3.0
17,24.0,24.057634563278636,24.4,0.0,0.0,3.0
18,25.0,23.20529700551407,24.4,0.0,0.0,3.0
19,25.0,22.865619375427777,24.4,0.0,0.0,3.0
20,24.0,22.730249425658517,24.275,0.0,0.0,3.0
21,23.0,23.733728551325743,24.15,0.0,0.0,3.0
22,24.0,21.999791916649055,24.025,0.0,0.0,3.0
23,24.0,22.898081841403044,23.9,0.0,101.0,3.0
24,24.0,22.185983146986437,24.175,0.0,151.5,3.0
25,25.0,22.97988090512631,24.45,0.0,202.0,3.0
26,24.0,22.24643866981314,24.725,0.0,281.75,3.0
27,23.0,23.563709719440055,25.0,0.0,361.5,3.0
28,25.0,23.038844705303248,25.825,0.0,441.25,2.6493
29,24.0,23.935216292696335,26.65,0.0,521.0,2.6493
30,24.0,23.80234820764647,27.475,0.0,565.0,2.6493
31,25.0,21.66366495404522,28.3,0.0,609.0,2.6493
32,25.0,22.44876921823671,28.725,0.0,653.0,1.22583
33,24.0,22.25129902527457,29.15,0.0,697.0,1.22583
34,24.0,23.25788623542196,29.575,0.0,714.25,1.22583
35,23.0,23.680561704030563,30.0,0.0,731.5,1.22583
36,24.0,23.338654658277957,30.425,0.0,748.75,0.72567
37,24.0,22.160163319785237,30.85,0.0,766.0,0.72567
38,25.0,22.243910081254082,31.275,0.0,778.5,0.72567
39,23.0,23.894448435025108,31.7,0.0,791.0,0.72567
40,22.0,25.105633606966226,31.975,0.775,803.5,0.72567
41,24.0,22.41097385776338,32.25,1.55,816.0,0.72567
42,24.0,23.47853036787695,32.525,2.325,795.5,0.72567
43,23.0,23.917906366520153,32.8,3.1,775.0,0.72567
44,23.0,23.575057649399422,32.925,2.85,754.5,0.72567
45,24.0,22.9128757602231,33.05,2.6,734.0,0.72567
46,22.0,23.719069355467138,33.175,2.35,735.0,0.72567
47,23.0,22.982930069544086,33.3,2.1,736.0,0.72567
48,24.0,23.227770588943603,33.575,2.475,737.0,0.72567
49,24.0,22.807394664491422,33.85,2.85,738.0,0.72567
50,22.0,23.71755117274857,34.125,3.225,730.25,0.72567
51,23.0,22.498561707974524,34.4,3.6,722.5,0.72567
52,23.0,23.622330159134705,34.55,3.35,714.75,0.72567
