,LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Previous Temperature,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep)
0,25.0,23.0,25.325,1.125,0.0,3.0
1,24.0,24.42629078238805,25.25,1.05,0.0,3.0
2,25.0,22.863387481839307,25.175000000000008,0.975,0.0,3.0
3,24.0,24.36425006358517,25.1,0.9,0.0,3.0
4,25.0,23.894823914777646,25.050000000000008,0.8250000000000001,0.0,3.0
5,24.0,24.237092772098865,25.0,0.75,0.0,3.0
6,24.0,23.839083753446292,24.95,0.6749999999999999,0.0,3.0
7,25.0,23.67793488497654,24.9,0.6,0.0,3.0
8,24.0,24.143059874871827,24.825,0.5249999999999999,0.0,3.0
9,25.0,23.792745860615604,24.75,0.45,0.0,3.0
10,25.0,23.649338425141472,24.675000000000008,0.375,0.0,3.0
11,24.0,24.652146829083808,24.6,0.3,0.0,3.0
12,22.0,26.64362985926829,24.550000000000008,0.225,0.0,3.0
13,24.0,24.24347743512498,24.5,0.15,0.0,3.0
14,25.0,23.816304045560546,24.45,0.075,0.0,3.0
15,25.0,23.11165323161285,24.4,0.0,0.0,3.0
16,24.0,23.892058454344777,24.4,0.0,0.0,3.0
17,25.0,23.671190045842568,24.4,0.0,0.0,3.0
18,25.0,24.115047735143413,24.4,0.0,0.0,3.0
19,24.0,24.291936019161675,24.4,0.0,0.0,3.0
20,25.0,23.29867193958227,24.275,0.0,0.0,3.0
21,25.0,23.96025900356078,24.15,0.0,0.0,3.0
22,24.0,24.21758679821449,24.025,0.0,0.0,3.0
23,25.0,23.781928038869033,23.9,0.0,101.0,3.0
24,25.0,23.60197619297014,24.175,0.0,151.5,3.0
25,25.0,23.544189209620004,24.45,0.0,202.0,3.0
26,25.0,24.066967171387212,24.725,0.0,281.75,3.0
27,25.0,23.757356202527635,25.0,0.0,361.5,3.0
28,24.0,24.179776068118635,25.825,0.0,441.25,2.6493
29,25.0,23.85802648163725,26.65,0.0,521.0,2.6493
30,24.0,24.303465377101634,27.475,0.0,565.0,2.6493
31,24.0,23.990889444230895,28.3,0.0,609.0,2.6493
32,24.0,23.908105046663614,28.725,0.0,653.0,1.22583
33,24.0,23.8966389446927,29.15,0.0,697.0,1.22583
34,24.0,23.913594950147754,29.575,0.0,714.25,1.22583
35,24.0,23.941877869458192,30.0,0.0,731.5,1.22583
36,24.0,23.97467484451983,30.425,0.0,748.75,0.72567
37,25.0,21.881753897669252,30.85,0.0,766.0,0.72567
38,25.0,21.601077808803563,31.275,0.0,778.5,0.72567
39,23.0,24.702022293281022,31.7,0.0,791.0,0.72567
40,24.0,23.299954909006317,31.975,0.775,803.5,0.72567
41,24.0,23.287003831735174,32.25,1.55,816.0,0.72567
42,24.0,23.82765001270843,32.525,2.325,795.5,0.72567
43,24.0,23.52515997181745,32.8,3.1,775.0,0.72567
44,23.0,24.482296924833744,32.925,2.85,754.5,0.72567
45,24.0,23.806312306012092,33.05,2.6,734.0,0.72567
46,23.0,24.075125950347257,33.175,2.35,735.0,0.72567
47,24.0,23.656706663745005,33.3,2.1,736.0,0.72567
48,22.0,25.62380413684993,33.575,2.475,737.0,0.72567
49,23.0,24.294152606894297,33.85,2.85,738.0,0.72567
50,24.0,23.778181820151055,34.125,3.225,730.25,0.72567
51,24.0,24.118362186560997,34.4,3.6,722.5,0.72567
52,23.0,24.26786077404969,34.55,3.35,714.75,0.72567
53,24.0,23.803157689444795,34.7,3.1,707.0,0.72567
