Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:People Occupant Count [](TimeStep),CORE_ZN:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_1:People Occupant Count [](TimeStep),PERIMETER_ZN_1:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_2:People Occupant Count [](TimeStep),PERIMETER_ZN_2:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_3:People Occupant Count [](TimeStep),PERIMETER_ZN_3:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_4:People Occupant Count [](TimeStep),PERIMETER_ZN_4:Zone People Occupant Count [](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),PSZ-AC:1 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:2 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:3 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:4 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:5 HEAT PUMP DX COOLING COIL:Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:1:Air System Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Cooling Coil Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Cooling Coil Total Cooling Energy [J](TimeStep),Averaged Building Temperature:PythonPlugin:OutputVariable [C](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep) 
 07/01  00:15:00,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99999836269126,22.78027578707667,23.000000246462496,22.794300062891439,22.999998292308847,13.196617959704584,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,280074.79321024697,0.0,7762.386882217776,0.0,199643.3753248528,280074.79321024697,280074.79321024697,0.0,0.0,7762.386882217776,7762.386882217776,0.0,0.0,199643.3753248528,199643.3753248528,17.0,0.0,111375.52449624785,0.0 
 07/01  00:30:00,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.999989740491249,22.76602464033605,22.999282723184998,22.774683709838976,22.99999725095343,13.676948559216874,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,269749.03758601497,0.0,0.0,0.0,183490.98403962703,269749.03758601497,269749.03758601497,0.0,0.0,0.0,0.0,0.0,0.0,183490.98403962703,183490.98403962703,17.0,0.0,103567.98354583376,0.0 
 07/01  00:45:00,16.700000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.999988134133063,22.74351004012189,22.989381768502793,22.74893271423833,22.99999734478343,14.075698171916767,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,260331.5621762601,0.0,0.0,0.0,167938.28706685717,260331.5621762601,260331.5621762601,0.0,0.0,0.0,0.0,0.0,0.0,167938.28706685717,167938.28706685717,17.0,0.0,97886.06343881588,0.0 
 07/01  01:00:00,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99998846037765,22.717720265536295,22.97036897341584,22.721767168194078,22.999997520326148,14.39081089774211,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,251120.28835969448,0.0,0.0,0.0,152688.5972062123,251120.28835969448,251120.28835969448,0.0,0.0,0.0,0.0,0.0,0.0,152688.5972062123,152688.5972062123,17.0,0.0,92314.18997581559,0.0 
 07/01  01:15:00,16.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000347505226,22.70043744152966,22.956283560851149,22.704515878673488,23.00000058347914,14.639786467584552,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,252772.33774608313,0.0,0.0,0.0,149481.9035126586,252772.33774608313,252772.33774608313,0.0,0.0,0.0,0.0,0.0,0.0,149481.9035126586,149481.9035126586,17.0,0.0,91941.6336621801,0.0 
 07/01  01:30:00,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000000851983754,22.69301988498514,22.948829356619699,22.69665725772966,23.0000008700938,14.836671673519814,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,254499.24751580106,0.0,0.0,0.0,146292.31270530955,254499.24751580106,254499.24751580106,0.0,0.0,0.0,0.0,0.0,0.0,146292.31270530955,146292.31270530955,17.0,0.0,91593.19387579413,0.0 
 07/01  01:45:00,16.674999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000098307998,22.690745657218075,22.944641823415308,22.692819732483444,23.000000958258587,14.991481016624956,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,256764.42492435306,0.0,0.0,0.0,143440.87780049048,256764.42492435306,256764.42492435306,0.0,0.0,0.0,0.0,0.0,0.0,143440.87780049048,143440.87780049048,17.0,0.0,91440.499012404,0.0 
 07/01  02:00:00,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001034511816,22.69002733823189,22.940922355726494,22.689910605037786,23.000000988757713,15.113404372827047,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,258818.07835651338,0.0,0.0,0.0,140770.3131313252,258818.07835651338,258818.07835651338,0.0,0.0,0.0,0.0,0.0,0.0,140770.3131313252,140770.3131313252,17.0,0.0,91282.21762430604,0.0 
 07/01  02:15:00,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.000001079108118,22.690628510550849,22.93708058063544,22.688277391769966,23.000001009624066,15.214002260097452,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,263351.9565482194,0.0,0.0,0.0,139528.51242175446,263351.9565482194,263351.9565482194,0.0,0.0,0.0,0.0,0.0,0.0,139528.51242175446,139528.51242175446,17.0,0.0,92007.97165848693,0.0 
 07/01  02:30:00,16.799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00000112249573,22.692403430565304,22.932977103454176,22.688064569672645,23.000001028871244,15.299731391293081,23.0,23.0,23.0,23.0,23.0,0.0,15.6,23.0,267861.9571701126,0.0,0.0,0.0,138548.67627928649,267861.9571701126,267861.9571701126,0.0,0.0,0.0,0.0,0.0,0.0,138548.67627928649,138548.67627928649,17.0,0.0,92787.55237697179,0.0 
