Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:15:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.237854E+03,3.276217E-01,3.424255E+03,3.804274E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.383737E+02,2.371420E-01,2.480894E+03,2.738344E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.566554E+02,1.483865E-01,1.550727E+03,1.706220E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.383737E+02,2.323505E-01,2.431788E+03,2.686418E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.566554E+02,1.591364E-01,1.660899E+03,1.821993E+03
00:30:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.248098E+03,3.267778E-01,3.405362E+03,3.784749E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.461394E+02,2.352183E-01,2.453412E+03,2.709570E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.612621E+02,1.470419E-01,1.532339E+03,1.686989E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.461394E+02,2.305808E-01,2.405885E+03,2.659288E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.612621E+02,1.573175E-01,1.637651E+03,1.797722E+03
00:45:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.258343E+03,3.259601E-01,3.386738E+03,3.765502E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.539052E+02,2.333601E-01,2.426603E+03,2.681490E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.658688E+02,1.457391E-01,1.514382E+03,1.668198E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.539052E+02,2.288706E-01,2.380592E+03,2.632787E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.658688E+02,1.555832E-01,1.615270E+03,1.774346E+03
01:00:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.268587E+03,3.251657E-01,3.368352E+03,3.746501E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.616709E+02,2.315658E-01,2.400448E+03,2.654089E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.704756E+02,1.444765E-01,1.496835E+03,1.649832E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.616709E+02,2.272169E-01,2.355878E+03,2.606887E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.704756E+02,1.539254E-01,1.593673E+03,1.751780E+03
01:15:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.275416E+03,3.243922E-01,3.353595E+03,3.731207E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.668480E+02,2.298463E-01,2.377648E+03,2.630146E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.735467E+02,1.432648E-01,1.481345E+03,1.633590E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.668480E+02,2.256362E-01,2.334501E+03,2.584434E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.735467E+02,1.523497E-01,1.574453E+03,1.731668E+03
01:30:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.282246E+03,3.236381E-01,3.339037E+03,3.716117E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.720252E+02,2.281972E-01,2.355570E+03,2.606958E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.766179E+02,1.421003E-01,1.466340E+03,1.617848E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.720252E+02,2.241250E-01,2.313836E+03,2.562727E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.766179E+02,1.508507E-01,1.556019E+03,1.712373E+03
01:45:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.289075E+03,3.229115E-01,3.324762E+03,3.701334E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.772024E+02,2.266091E-01,2.334117E+03,2.584416E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.796890E+02,1.409764E-01,1.451750E+03,1.602534E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.772024E+02,2.226735E-01,2.293783E+03,2.541651E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.796890E+02,1.494200E-01,1.538285E+03,1.693799E+03
02:00:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.295904E+03,3.222024E-01,3.310665E+03,3.686737E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.823795E+02,2.250747E-01,2.313215E+03,2.562448E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.827602E+02,1.398895E-01,1.437539E+03,1.587611E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.823795E+02,2.212747E-01,2.274270E+03,2.521136E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.827602E+02,1.480523E-01,1.521198E+03,1.675895E+03
02:15:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.301027E+03,3.215103E-01,3.298449E+03,3.674062E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.862624E+02,2.236006E-01,2.294225E+03,2.542461E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.850635E+02,1.388438E-01,1.424520E+03,1.573924E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.862624E+02,2.199356E-01,2.256664E+03,2.502600E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.850635E+02,1.467514E-01,1.505561E+03,1.659495E+03
02:30:00,7.636420E-02,2.777815E+03,7.636420E-02,0.000000E+00,0.000000E+00,7.636420E-02,1.306149E+03,3.208349E-01,3.286405E+03,3.661565E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.901452E+02,2.221829E-01,2.275812E+03,2.523086E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.873669E+02,1.378381E-01,1.411909E+03,1.560670E+03,5.788901E-02,2.105764E+03,5.788901E-02,0.000000E+00,0.000000E+00,5.788901E-02,9.901452E+02,2.186543E-01,2.239649E+03,2.484696E+03,3.434051E-02,1.249166E+03,3.434051E-02,0.000000E+00,0.000000E+00,3.434051E-02,5.873669E+02,1.455128E-01,1.490564E+03,1.643766E+03
