Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 02/21  00:15:00,16.2,3.0,19.152679876600204,11.928458897159186,24.0,0.0,15.6,24.0,0.0 
 02/21  00:30:00,16.2,3.0,19.107880464463418,11.929246839442224,24.0,0.0,15.6,24.0,0.0 
 02/21  00:45:00,16.2,3.0,19.068963606895815,11.929798883253213,24.0,0.0,15.6,24.0,0.0 
 02/21  01:00:00,16.2,3.0,19.037074548940926,11.930119027845662,24.0,0.0,15.6,24.0,0.0 
 02/21  01:15:00,16.2,2.69079,18.988930632177323,11.93021762020743,24.0,0.0,15.6,24.0,0.0 
 02/21  01:30:00,16.2,2.69079,18.939721122630144,11.93010633413464,24.0,0.0,15.6,24.0,0.0 
 02/21  01:45:00,16.2,2.69079,18.900024560865917,11.929798960993287,24.0,0.0,15.6,24.0,0.0 
 02/21  02:00:00,16.2,2.69079,18.869376117516297,11.929311564521078,24.0,0.0,15.6,24.0,0.0 
 02/21  02:15:00,16.2,3.0,18.858603296031239,11.92866145019447,24.0,0.0,15.6,24.0,0.0 
 02/21  02:30:00,16.2,3.0,18.85022510711999,11.92787852889022,24.0,0.0,15.6,24.0,0.0 
 02/21  02:45:00,16.2,3.0,18.835521335927635,11.926975434014559,24.0,0.0,15.6,24.0,0.0 
 02/21  03:00:00,16.2,3.0,18.816166684058158,11.92596140581148,24.0,0.0,15.6,24.0,0.0 
 02/21  03:15:00,16.2,2.69079,18.779384500825786,11.924854851186078,24.0,0.0,15.6,24.0,0.0 
 02/21  03:30:00,16.2,2.69079,18.742701047236289,11.923678459584063,24.0,0.0,15.6,24.0,0.0 
 02/21  03:45:00,16.2,2.69079,18.715197046758836,11.922453016758278,24.0,0.0,15.6,24.0,0.0 
 02/21  04:00:00,16.2,2.69079,18.695217430721905,11.921195304555445,24.0,0.0,15.6,24.0,0.0 
 02/21  04:15:00,16.2,3.0,18.701156303421475,11.919957449879089,24.0,0.0,15.6,24.0,0.0 
 02/21  04:30:00,16.2,3.0,18.71096328501427,11.918728129376307,24.0,0.0,15.6,24.0,0.0 
 02/21  04:45:00,16.2,3.0,18.711752246056724,11.91748319869373,24.0,0.0,15.6,24.0,0.0 
 02/21  05:00:00,16.2,3.0,18.704823454384415,11.916229701570183,24.0,0.0,15.6,24.0,0.0 
 02/21  05:15:00,16.2,2.69079,18.698516072931598,11.914949268315045,24.0,0.0,15.6,24.0,0.0 
 02/21  05:30:00,16.2,2.69079,18.698439707843208,11.913798304400143,24.0,0.0,15.6,24.0,0.0 
 02/21  05:45:00,16.2,2.69079,18.70205829314663,11.912763631609714,24.0,0.0,15.6,24.0,0.0 
 02/21  06:00:00,16.2,2.69079,18.706427525506375,11.91175966003317,24.0,0.0,15.6,24.0,0.0 
 02/21  06:15:00,16.2,3.0,18.73899833244969,11.910669618939611,24.0,0.0,15.6,24.0,0.0 
 02/21  06:30:00,16.2,3.0,18.77645914406496,11.90960109175874,24.0,0.0,15.6,24.0,0.0 
 02/21  06:45:00,16.2,3.0,18.802794131826344,11.908673422296783,24.0,0.0,15.6,24.0,0.0 
 02/21  07:00:00,16.2,3.0,18.81840063448252,11.907898252326936,24.0,0.0,15.6,24.0,0.0 
 02/21  07:15:00,16.2,2.6493,18.81401394150509,11.907251323454135,24.0,0.0,15.6,24.0,0.0 
 02/21  07:30:00,16.2,2.6493,18.81014695829874,11.906725023145216,24.0,0.0,15.6,24.0,0.0 
 02/21  07:45:00,16.2,2.6493,18.816045136393023,11.906333314201416,24.0,0.0,15.6,24.0,0.0 
 02/21  08:00:00,16.2,2.6493,18.82729431396805,11.906069346376798,24.0,0.0,15.6,24.0,0.0 
 02/21  08:15:00,16.2,1.22583,18.742674112777324,11.905916359916198,24.0,0.0,15.6,24.0,0.0 
 02/21  08:30:00,16.2,1.22583,18.642574382411138,11.905868149206697,24.0,0.0,15.6,24.0,0.0 
 02/21  08:45:00,16.2,1.22583,18.579896893740714,11.905912834028007,24.0,0.0,15.6,24.0,0.0 
 02/21  09:00:00,16.2,1.22583,18.553337937737689,11.90602389373841,24.0,0.0,15.6,24.0,0.0 
 02/21  09:15:00,16.2,0.72567,18.50405582675973,11.906166115798417,24.0,0.0,15.6,24.0,0.0 
 02/21  09:30:00,16.2,0.72567,18.44938373726262,11.906303489109109,24.0,0.0,15.6,24.0,0.0 
 02/21  09:45:00,16.2,0.72567,18.40664722713311,11.906403377007525,24.0,0.0,15.6,24.0,0.0 
 02/21  10:00:00,16.2,0.72567,18.377827754919225,11.906438283195865,24.0,0.0,15.6,24.0,0.0 
 02/21  10:15:00,16.2,0.72567,18.3577114994146,11.90638729363366,24.0,0.0,15.6,24.0,0.0 
 02/21  10:30:00,16.2,0.72567,18.3398400396231,11.906237030620915,24.0,0.0,15.6,24.0,0.0 
 02/21  10:45:00,16.2,0.72567,18.321817746223826,11.905981636662121,24.0,0.0,15.6,24.0,0.0 
 02/21  11:00:00,16.2,0.72567,18.303932750997274,11.905621956711532,24.0,0.0,15.6,24.0,0.0 
 02/21  11:15:00,16.2,0.72567,18.28748400200855,11.905164205751224,25.0,0.0,15.6,25.0,0.0 
 02/21  11:30:00,16.2,0.72567,18.2733753025552,11.904618348176893,25.0,0.0,15.6,25.0,0.0 
 02/21  11:45:00,16.2,0.72567,18.260248477377844,11.903996487834535,25.0,0.0,15.6,25.0,0.0 
 02/21  12:00:00,16.2,0.72567,18.24734957857104,11.903311534282466,25.0,0.0,15.6,25.0,0.0 
 02/21  12:15:00,16.2,0.72567,18.234005995431958,11.902576263063825,25.0,0.0,15.6,25.0,0.0 
 02/21  12:30:00,16.2,0.72567,18.22109913392538,11.901827113381872,25.0,0.0,15.6,25.0,0.0 
