Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.122589E+02,1.284738E-01,1.626556E+03,2.913500E+03
00:30:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.159046E+02,1.196515E-01,1.516573E+03,2.758713E+03
00:45:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.195502E+02,1.116320E-01,1.416265E+03,2.615408E+03
01:00:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.231959E+02,1.042666E-01,1.323838E+03,2.480898E+03
01:15:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.256263E+02,9.768009E-02,1.242016E+03,2.359435E+03
01:30:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.280567E+02,9.180469E-02,1.168764E+03,2.249038E+03
01:45:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.304871E+02,8.649685E-02,1.102353E+03,2.147299E+03
02:00:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.329176E+02,8.167570E-02,1.041808E+03,2.053008E+03
02:15:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.347404E+02,7.826372E-02,9.988575E+02,1.987361E+03
02:30:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.365632E+02,7.522240E-02,9.603728E+02,1.927809E+03
02:45:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.383860E+02,7.250236E-02,9.257609E+02,1.873681E+03
03:00:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.402088E+02,7.006210E-02,8.945216E+02,1.824395E+03
03:15:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.420317E+02,6.695281E-02,8.552167E+02,1.758835E+03
03:30:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.438545E+02,6.402834E-02,8.181409E+02,1.696236E+03
03:45:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.456773E+02,6.125483E-02,7.828846E+02,1.635941E+03
04:00:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.475001E+02,5.861800E-02,7.492758E+02,1.577716E+03
04:15:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.487153E+02,5.731930E-02,7.324058E+02,1.550170E+03
04:30:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.499305E+02,5.624867E-02,7.182838E+02,1.527119E+03
04:45:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.511458E+02,5.537817E-02,7.065744E+02,1.508149E+03
05:00:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.523610E+02,5.468245E-02,6.969719E+02,1.492900E+03
05:15:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.511458E+02,5.389456E-02,6.886886E+02,1.477709E+03
05:30:00,3.406585E-02,1.157020E+03,3.406585E-02,1.437717E+02,4.492258E+02,3.406585E-02,8.499305E+02,5.354766E-02,6.857219E+02,1.472297E+03
